PostDate,Headline,Preview
Posted at 20:06 1 Sep 2020,Apple iPhones can contact-trace without Covid app,The new version of iOS serves virus alerts without users having to download an official app.
Posted at 17:50 29 Aug 2020,Apple rejects order to unlock killer's phone,Apple chief executive Tim Cook says his company will contest a court order to help FBI investigators access data on the phone used by San Bernardino gunman Syed Rizwan Farook.
Posted at 23:46 28 Aug 2020,Apple removes Fortnite developer from App Store,The move is the latest in a row between Apple and Fortnite creator Epic over in-app payments.
Posted at 14:37 27 Aug 2020,Facebook says Apple ad-blocking could halve revenue,"In the upcoming iOS 14, apps have to explicitly ask users' permission to collect and share data."
Posted at 11:48 27 Aug 2020,Apple Fortnite players left behind in new update,The new season of Epic's popular game does not - and will not - appear on any Apple devices.
Posted at 13:17 25 Aug 2020,"Apple can block Epic's Fortnite, judge rules","The ruling, which protects Epic's Unreal Engine tool, holds until a full hearing on 28 September."
Posted at 0:11 25 Aug 2020,Carmakers urge regulators to fight Qualcomm ruling,Carmakers and tech firms warn prices of 5G devices and connected cars will rise if action isn't taken.
Posted at 11:16 24 Aug 2020,Microsoft backs Epic in Apple row,"The Xbox company has declared support for the Fortnite-maker as it battles Apple's ""monopoly""."
Posted at 5:38 21 Aug 2020,News publishers fight tech giants for better deals,Apple and Google face pressure from news providers who want a greater share of revenue for their content.
Posted at 0:39 20 Aug 2020,Apple first US company to be valued at $2tn,The tech giant reaches the milestone just two years after achieving a $1tn stock market valuation.
Posted at 16:06 19 Aug 2020,Apple helped make 'top secret' government iPod,A former Apple engineer says the modified iPod secretly recorded data using hidden extra hardware inside.
Posted at 13:25 18 Aug 2020,Fortnite: Epic files new injunction against Apple,Fortnite-maker Epic Games now says it faces a total ban from Apple.
Posted at 5:04 18 Aug 2020,Trump dangles cash for US firms moving from China,The US president is enticing companies to move factories back to America while punishing those who don’t.
Posted at 11:15 14 Aug 2020,Fortnite sues Google as ban battle intensifies,Apple and Google removed the hit game from their app stores after it bypassed their payment systems.
Posted at 22:30 13 Aug 2020,Fortnite sues Apple over App Store ban,"Epic Games says it is taking Apple to court over ""monopolistic"" policies after it banned Fortnite."
Posted at 5:39 13 Aug 2020,WeChat-owner shrugs off Trump's proposed US ban,Tencent expects its Chinese messaging app will not be affected by America's action against the firm.
Posted at 18:08 11 Aug 2020,'Bullying' Apple fights couple over pear logo,The owners of the Prepear recipe app are speaking out after Apple tried to block their pear logo.
Posted at 3:57 11 Aug 2020,Apple boss Tim Cook joins the billionaires club,"The company's share price has soared, helping to boost the personal wealth of its chief executive."
Posted at 11:44 7 Aug 2020,Apple defends Xbox streaming block on iPhones,"Apple is denying consumers cloud gaming, says Microsoft, as streaming service is blocked on iPhones."
Posted at 17:29 31 Jul 2020,"Tech Tent: Congressman, that's a great question!","Will the grilling of Amazon, Apple, Facebook and Google executives lead to any tangible change?"
Posted at 0:10 31 Jul 2020,Kylie and Kendall Jenner endorsed 'knock-off' tech,"They promoted AirPods clones, whose design may be in breach of Apple's intellectual property rights."
Posted at 23:38 30 Jul 2020,Tech giants thriving in lockdown,"Apple and Amazon saw sales surge during lockdown, while the number of Facebook users jumped."
Posted at 17:31 30 Jul 2020,Five key moments from the big tech grilling,"The heads of Amazon, Apple, Facebook and Google faced accusations of bias and unfair competition."
Posted at 13:23 30 Jul 2020,After the questions: What next for Big Tech?,"Apple, Amazon, Alphabet and Facebook's CEOs gave testimony, but voters will determine the outcome."
Posted at 5:31 30 Jul 2020,Samsung profits soar on work from home demand,The world's biggest producer of memory chips sees demand jump as data centres expanded during lockdowns.
Posted at 1:00 30 Jul 2020,Tech bosses grilled over claims of 'harmful' power,The executives of the four US tech giants defend their records at a five-hour hearing in Congress.
Posted at 14:11 29 Jul 2020,US tech giants face Congress grilling,"Facebook, Apple, Google and Amazon are being questioned over whether they are too dominant."
Posted at 5:27 29 Jul 2020,A day of reckoning for US tech giants' CEOs,"The bosses of Facebook, Google, Apple and Amazon are set to be grilled by Congress."
Posted at 4:40 29 Jul 2020,How much power does tech 'big four' have?,"Regulators are scrutinising Amazon, Apple, Google and Facebook. How much power do the 'big four' hold?"
Posted at 9:23 24 Jul 2020,"Google, Facebook, Amazon, Apple hearing faces delay",The anti-trust hearing is set to be postponed after the death of civil rights leader John Lewis.
Posted at 5:14 23 Jul 2020,Apple and Nike urged to cut 'China Uighur ties',"Activists have accused Western companies of ""bolstering and benefiting"" from abuses of China's Muslim minority."
Posted at 18:00 22 Jul 2020,Apple digs in over its App Store fees,Firm says its sales cut is similar to other online stores and less than publishers give up offline.
Posted at 0:10 22 Jul 2020,The great coronavirus-tracing apps mystery,Germany and Switzerland are not sure how well their apps are working as the data is out of bounds.
Posted at 13:01 21 Jul 2020,Apple makes 2030 carbon-neutral pledge,"The ""zero climate impact"" promise covers both its own operations and those of its suppliers."
Posted at 18:33 17 Jul 2020,US tech and film 'collaborating' with China - Barr,"Such dealings with Beijing risk undermining the liberal order, the US attorney general says."
Posted at 13:25 15 Jul 2020,Apple has €13bn Irish tax bill overturned,The EU's second highest court says the tech giant will not have to pay a record sum in back taxes.
Posted at 16:36 10 Jul 2020,"Tech Tent: China and US, the great tech schism",Are we facing a future where global technology gives way to two isolated blocs with different rules?
Posted at 16:18 10 Jul 2020,Apple apps collapse as Facebook takes blame,"Apps which integrate with Facebook's software were unusable for a while, thanks to a code change."
Posted at 12:50 7 Jul 2020,Microsoft and Zoom join Hong Kong data 'pause',Firms join others in saying they are not currently complying with government requests for user data.
Posted at 23:22 6 Jul 2020,Facebook and Google 'pause' Hong Kong police help,"Twitter and Telegram also put a halt to processing data requests, but Apple has not commented."
Posted at 12:19 6 Jul 2020,Reddit and LinkedIn stop copying iPhone clipboards,Both apps were found to be regularly looking at the clipboards.
Posted at 0:01 5 Jul 2020,Why Singapore turned to wearable virus-trace tech,"The TraceTogether Token is designed to make an app more effective, but worries privacy campaigners."
Posted at 17:01 29 Jun 2020,TikTok 'didn't store' iPhone clipboard data,"In a new software update, Apple will alert iPhone owners when the clipboard is accessed by an app."
Posted at 10:10 26 Jun 2020,Tech Tent: Apple says goodbye to Intel,The programme explores Apple's decision to shift to using its own silicon.
Posted at 18:03 23 Jun 2020,Apple-backed firm aims for one million robotaxis,Didi Chuxing plans to have the self-driving vehicles operational by 2030.
Posted at 20:51 22 Jun 2020,Apple Mac computers make jump to its own chips,The firm will now custom-design the chips that power its future desktop and laptop computers.
Posted at 14:53 22 Jun 2020,Ireland set to launch virus app despite UK delay,"The Republic's health authority presses ahead with Apple-Google tech, despite the UK being unready."
Posted at 14:02 20 Jun 2020,Covid-19 tracing tool on smartphones is 'not app',"The new ""exposure notification"" tool is part of an update to iPhone and Android operating systems."
Posted at 1:11 20 Jun 2020,What went wrong with the coronavirus app?,After months of work the UK has ditched the way its current coronavirus-tracing app works. So what went wrong?
Posted at 18:58 19 Jun 2020,App row overshadows Apple's annual showcase,The run-up to its developer conference has been marked by a revolt from its developers.
Posted at 17:51 19 Jun 2020,Apple 'not told' about UK's latest app plans,"Apple says the UK government has not spoken to it about plans to develop a new ""hybrid"" tracing app."
Posted at 17:45 18 Jun 2020,UK virus-tracing app switches to Apple-Google model,Government now intends to launch an app in the autumn but it may still lack contact-tracing tech.
Posted at 16:59 17 Jun 2020,Apple accused of 'hostile' app fee policies,A clash with a new email app-maker has stirred up developer discontent against the tech giant.
Posted at 15:25 16 Jun 2020,Apple faces two EU anti-competition probes,Firm is investigated for limiting app sales to its own store and imposing other rules on developers.
Posted at 22:25 15 Jun 2020,Apple claims 'half a trillion dollars' app economy,"Firm says it only took a cut from a fraction of the trade, but still faces anti-competition scrutiny."
Posted at 2:03 11 Jun 2020,Ministers consider coronavirus-tracing app rethink,"A switch to the Google-Apple model is being considered, but developers believe it would be a mistake."
Posted at 11:59 4 Jun 2020,Apple tracks looters who steal iPhones,Messages that appear on stolen phones suggest the authorities are also being alerted.
Posted at 23:49 27 May 2020,Video streaming services boom during lockdown,"Britons turned to Disney+ in droves, data suggests, but Apple TV has struggled to engage viewers."
Posted at 13:38 26 May 2020,First Google/Apple-based virus-trace app launched,A Swiss contact-tracing app gains a limited release but may be overtaken by a Latvian effort.
Posted at 17:03 20 May 2020,Apple and Google's Covid-19 'watershed moment',Tech firms say 22 countries and some US states have requested access to their contact-tracing system.
Posted at 11:17 19 May 2020,Apple requires US shoppers to wear masks,Customers will also have their temperature taken and be asked basic health questions at the door.
Posted at 16:12 18 May 2020,Apple and Google sued over Rainbow Six game 'copy',"Ubisoft alleges a new, popular mobile game is a blatant copy of its major shooter Rainbow Six: Siege."
Posted at 14:33 11 May 2020,How life has changed since Euro 96,"As Euro 96 returns to terrestrial TV, BBC Sport looks at how life in the UK was different almost a quarter of a century ago."
Posted at 11:11 7 May 2020,Facebook update crashes TikTok and other rivals,The social network apologised after a software update affects several popular apps on iPhones.
Posted at 10:47 5 May 2020,Key workers to trial NHS virus tracing app,"If the Isle of Wight trial is successful, the app could be ready nationwide within weeks, ministers say."
Posted at 18:21 1 May 2020,Ireland virus app plan at odds with UK's,"The border with Northern Ireland presents ""technical challenges"" that have yet to be solved."
Posted at 22:27 30 Apr 2020,Apple boosted by streaming services despite lockdown,"While iPhone sales fell due to the lockdown in China, sales of streaming services jumped."
Posted at 15:00 27 Apr 2020,NHS rejects Apple-Google coronavirus app plan,"The UK's contact-tracing app is set to use a ""centralised"" system that worries privacy experts."
Posted at 16:34 24 Apr 2020,Tech Tent: Are apps the way to lift the lockdown?,"Should we be more relaxed about government surveillance, if it helps combat the coronavirus?"
Posted at 16:15 24 Apr 2020,Apple and Google accelerate coronavirus apps plan,Tech giants add privacy protections to the contact-tracing scheme they are offering to public authorities.
Posted at 10:39 24 Apr 2020,Apple iPhone at risk of hacking through email app,Researchers claim the sophistication of the hack makes it nearly undetectable to victims.
Posted at 23:20 23 Apr 2020,Surveillance 'price worth paying' in Covid-19 fight,"The Tony Blair Institute says a ""dramatic"" increase in surveillance is better than the other available options."
Posted at 16:57 21 Apr 2020,Apple and France in stand-off over coronavirus app,"France wants to run a contact-tracing app in the background on iPhones, without Apple's privacy scheme."
Posted at 17:23 15 Apr 2020,Apple announces new iPhone SE,"Apple's new low-priced phone is a successor to the original SE, which was discontinued in 2018."
Posted at 19:07 14 Apr 2020,Apple tracks changes in pandemic travel behaviour,"Firm offers tool that tracks how many people are walking, driving and using public transport."
Posted at 17:29 12 Apr 2020,UK confirms coronavirus contact tracing app plans,App will send yellow and red alerts to those who have come into contact with a suspected carrier.
Posted at 20:05 10 Apr 2020,Apple and Google team up for coronavirus tracking,The companies plan to add contact tracing to their operating systems so no extra apps are needed.
Posted at 0:08 9 Apr 2020,What was the best year for music?,Was 1984 more influential than 1982? Streaming statistics from the BPI suggest it might have been.
Posted at 8:06 6 Apr 2020,"Defence firm Babcock to make 10,000 ventilators",The move comes as tech giant Apple says it will start making face shields for medical workers.
Posted at 0:06 3 Apr 2020,Coronavirus threatens the next generation of smartphones,The latest smartphones might be delayed due to disrupted supply chains and shoppers staying at home.
Posted at 1:43 2 Apr 2020,Amazon Prime allows in-app purchases on iPhone,"The changes will apply to users in the US, UK, and Germany."
Posted at 23:28 31 Mar 2020,Apple buys weather app Dark Sky,The iPhone maker will shut down the Android and Wear OS versions of the app in July.
Posted at 15:17 26 Mar 2020,Movie streaming boom as people stay at home,Around the world people are watching films in high numbers through streaming platforms.
Posted at 1:43 22 Mar 2020,How to make a WhatsApp video call,A simple guide explaining how to make a WhatsApp video call.
Posted at 1:37 22 Mar 2020,How to receive a video call without apps,A simple guide explaining how to receive a video call.
Posted at 1:36 22 Mar 2020,How to make a FaceTime call,A simple guide explaining how to make a FaceTime video call.
Posted at 18:35 20 Mar 2020,Smartphone sales collapse amid coronavirus crisis,"Sales of new phones tumble, in the biggest fall since the invention of the smartphone."
Posted at 16:03 16 Mar 2020,Apple hit with record €1.1bn fine in France,France's competition watchdog says Apple engaged in anti-competitive behaviour.
Posted at 17:51 13 Mar 2020,"Apple's annual showcase, WWDC, online only",The Worldwide Developers Conference is often where new hardware and software products are announced.
Posted at 12:14 13 Mar 2020,Apple reopens all its China stores,The iPhone maker reopens dozens of stores across China after nearly a month.
Posted at 1:01 10 Mar 2020,Tricks and tools for better working from home,"If coronavirus means you have to work from home, then there is some tech you should consider."
Posted at 13:07 3 Mar 2020,Chinese pair charged with iTunes money laundering,The two Chinese nationals are allegedly linked to members of North Korean hacking group Lazarus.
Posted at 19:52 2 Mar 2020,Apple settles iPhone slowdown case for $500m,Apple agrees a payout over allegations it deliberately slowed down older iPhones.
Posted at 10:06 28 Feb 2020,Markets gauging the economic damage of the coronavirus,
Posted at 1:48 27 Feb 2020,Apple to open first Indian store in 2021,The iPhone maker lags behind competitors in the world's second largest mobile phone market.
Posted at 15:02 26 Feb 2020,Tesla crash driver 'was playing video game',An Apple employee died after his semi-autonomous Tesla hit a concrete barrier.
Posted at 8:47 26 Feb 2020,Coronavirus: Chinese workers offered free transport,
Posted at 5:47 26 Feb 2020,Coronavirus: Chinese workers offered free transport,"Planes, trains and buses are being put on to help Chinese workers quickly return to factories."
Posted at 4:54 20 Feb 2020,"'Cut, copy and paste' inventor dies",Larry Tesler was responsible for many of the innovations that made personal computing accessible.
Posted at 23:47 17 Feb 2020,Apple warns coronavirus will hurt iPhone supplies,"The tech giant says it is ""experiencing a slower return to normal conditions"" in China than expected."
Posted at 7:30 10 Feb 2020,Why much of 'the world's factory' is still shut,
Posted at 6:51 10 Feb 2020,Why much of 'the world's factory' remains closed,Apple supplier Foxconn and global car makers have kept Chinese plants closed because of the coronavirus.
Posted at 23:36 7 Feb 2020,Pressure grows on China to re-open factories,Global firms are waiting for China to re-start production to avoid further disruptions.
Posted at 18:49 7 Feb 2020,Apple fined for slowing down old iPhones,Apple agrees to pay a £21m fine in France for not making it clear that it slowed down old iPhones.
Posted at 7:59 7 Feb 2020,iPhone maker Foxconn starts making masks,The world's biggest electronics maker aims to produce two million surgical masks a month.
Posted at 15:07 5 Feb 2020,Apple patent explores crease-free folding phone,The technology giant's new patent sets out to eliminate the biggest issues with foldable devices.
Posted at 19:44 1 Feb 2020,MEPs vote for universal charger for smartphones,The decision may frustrate Apple which had cautioned against such a decision.
Posted at 15:51 31 Jan 2020,"Mum's warning after £1,450 iPad games bill",Her eight-year-old daughter reset security settings to accept her own fingerprint.
Posted at 9:43 29 Jan 2020,People are 'sensitive' to the price of the iPhone,
Posted at 8:05 29 Jan 2020,Apple credits iPhone 11 demand for record sales,"The tech giant says it is monitoring the coronavirus outbreak, which has made forecasting difficult."
Posted at 7:00 28 Jan 2020,Good morning!,
Posted at 17:01 23 Jan 2020,Apple says losing Lightning port will create waste,Some members of the European Parliament want all phone-makers to adopt a universal port.
Posted at 10:27 23 Jan 2020,FBI 'persuaded Apple to halt iCloud encryption',Apple was reportedly working on the encryption feature two years ago but the FBI objected.
Posted at 23:23 17 Jan 2020,Rough Trade: We're selling more records than ever,"The music retailer launches a partnership with Apple Music, saying that streaming boosts vinyl sales."
Posted at 11:49 17 Jan 2020,Why Apple may have to abandon its Lightning cable,European Parliament members want all tech giants to adopt a single universal charging method.
Posted at 7:24 15 Jan 2020,Trump launches fresh attack on Apple over privacy,
Posted at 3:30 15 Jan 2020,Trump launches fresh attack on Apple over privacy,The firm rejects claims that it is shielding criminals by refusing to co-operate with investigators.
Posted at 1:29 15 Jan 2020,Google’s new privacy policy frustrates advertisers,The firm unveiled a timeline for new privacy rules that will limit third-party access to user data.
Posted at 1:49 8 Jan 2020,Bosses are wary of the return of the corporate raider,"Corporate raiders may now style themselves as ""shareholder activists"" but firms are no less worried."
Posted at 9:23 7 Jan 2020,Apple's iPhone XR has O2 network problem,O2 customers with the iPhone XR say they rarely have signal.
Posted at 19:01 6 Jan 2020,Ricky Gervais slams Apple over Chinese factories,Technology giants were heavily criticised at the 77th annual Golden Globes.
Posted at 17:49 2 Jan 2020,Imagination announces new Apple licence deal,Apple's move to sever ties in 2017 had disrupted the UK-based chipmaker's business.
Posted at 13:57 31 Dec 2019,Apple accused of crackdown on jailbreaking,The tech giant has filed a copyright infringement claim against software company Corellium.
Posted at 1:59 31 Dec 2019,Tech 2019: What happened next?,Social media scandals dominate the list of the most-read news stories by the Tech desk this year.
Posted at 12:48 27 Dec 2019,Apple 'hacker' spared jail over iCloud blackmail,A 22-year-old Londoner admits trying to blackmail Apple by threatening to wipe iCloud accounts.
Posted at 16:30 23 Dec 2019,Google and Apple remove alleged UAE spy app ToTok,ToTok says it is a temporary technical issue and it will be back in the near future with more features.
Posted at 19:06 18 Dec 2019,Is this the end of the smart home tech war?,"Apple, Google and Amazon team up to ensure smart home devices work regardless of the voice assistant used."
Posted at 20:13 16 Dec 2019,Tech firms sued over DR Congo cobalt mining deaths,"A lawsuit accuses Apple, Google, Tesla, Microsoft and others of using cobalt mined by child labour."
Posted at 16:16 16 Dec 2019,Apple faces human-rights policy shareholder vote,
Posted at 15:25 16 Dec 2019,Apple fails to block human rights vote,A US regulator ruled a freedom-of-expression motion filed by campaigners should be put to shareholders.
Posted at 13:51 5 Dec 2019,Apple challenged over iPhone location settings,The phone maker denies any privacy flaw despite evidence locations are tracked even if set otherwise.
Posted at 1:03 3 Dec 2019,How China-US rivalry is dividing the internet,Will the rivalry between China and the US accelerate the division of the internet into two halves?
Posted at 18:50 2 Dec 2019,Apple Pay speeds up payments on London Underground,The adjustment for iPhone and Apple Watch users is intended to shorten queues at station barriers.
Posted at 4:25 30 Nov 2019,Apple to take 'deeper look' at disputed borders,The review comes after the tech giant was criticised for maps showing Crimea as Russian territory.
Posted at 15:28 29 Nov 2019,Nightflyers: How filming in Ireland has transformed a city,"An old computer factory in Limerick has become a home to Netflix and Apple TV+ series. The BBC's Stephen Ryan went on board the spaceship used in the sci-fi series, 'Nightflyers'."
Posted at 16:24 28 Nov 2019,Apple removes designer Ive from leadership page,"The former design head is deleted from Apple's web page, ending speculation about his departure date."
