,Date,Preview,Title
35,2019-07-19,"Tributes to the Japanese animation studio ravaged in a suspected arson attack lit up social media on Friday, with world leaders and Apple Inc's chief executive offering condolences to the families of the 33 people who were killed.","World leaders, Apple CEO offer tributes to Japanese studio after attack"
36,2019-07-17,"Anglo-German chip designer Dialog Semiconductor on Wednesday raised its second-quarter earnings outlook, citing strong revenue and gains from a transfer of assets to iPhone maker Apple.",Dialog Semiconductor raises second-quarter profit outlook
37,2019-07-16,"CSX Corp on Tuesday posted quarterly profit that missed Wall Street's target and cut its full-year revenue forecast after weakness in its trade-related intermodal business weighed on results, sending shares down 6.1% in after-hours trade.",CSX profit hit by trade-related weakness; shares slide after hours
38,2019-07-15,"Guggenheim Partners won the dismissal of a lawsuit claiming it defrauded investors in a risky annuity, and siphoned cash for purposes including to help its billionaire chief executive Mark Walter buy the Los Angeles Dodgers baseball team.",Guggenheim defeats lawsuit claiming it siphoned annuity unit's cash for LA Dodgers
39,2019-07-15,"Guggenheim Partners won the dismissal of a lawsuit claiming it defrauded investors in a risky annuity, and siphoned cash for purposes including to help its billionaire chief executive Mark Walter buy the Los Angeles Dodgers baseball team.",Guggenheim defeats lawsuit claiming it siphoned annuity unit's cash for LA Dodgers
40,2019-07-23,"PulteGroup Inc on Tuesday forecast full-year home sales and gross margins below analyst expectations, as it grapples with rising land costs, sending its shares down as much as 7%.","Pulte full-year forecast disappoints, higher costs persist"
41,2019-07-23,"United Technologies on Tuesday raised its full-year sales and profit forecasts, aided by an increase in demand for its aircraft maintenance parts and services as airlines grapple with overworked planes due to the grounding of Boeing's MAX jets.",United Tech profit beats on aircraft parts demand after MAX grounding
42,2019-07-23,"Apple supplier AMS kept alive the prospect of a counterbid for German lighting group Osram on Tuesday, as the Austrian company predicted demand for its optical sensors would continue to recover in the third quarter.",AMS re-opens door on Osram bid as recovery continues
43,2019-07-23,"* Shares jump 10%, Osram also higher (Adds detail, analyst, shares)",UPDATE 2-AMS re-opens door on Osram bid as recovery continues
44,2019-07-23,"Cardiff-based IQE Plc expects new supply chains in Asia to provide significant orders, the supplier of semiconductor wafer to Apple Inc said on Tuesday, sending its shares up more than 13%.",UK's IQE reassures investors with Asian orders
45,2019-07-19,"Tributes to the Japanese animation studio ravaged in a suspected arson attack lit up social media on Friday, with world leaders and Apple Inc's chief executive offering condolences to the families of the 33 people who were killed.","World leaders, Apple CEO offer tributes to Japanese studio after attack"
46,2019-07-17,"Anglo-German chip designer Dialog Semiconductor on Wednesday raised its second-quarter earnings outlook, citing strong revenue and gains from a transfer of assets to iPhone maker Apple.",Dialog Semiconductor raises second-quarter profit outlook
47,2019-07-16,"CSX Corp on Tuesday posted quarterly profit that missed Wall Street's target and cut its full-year revenue forecast after weakness in its trade-related intermodal business weighed on results, sending shares down 6.1% in after-hours trade.",CSX profit hit by trade-related weakness; shares slide after hours
48,2019-07-15,"Guggenheim Partners won the dismissal of a lawsuit claiming it defrauded investors in a risky annuity, and siphoned cash for purposes including to help its billionaire chief executive Mark Walter buy the Los Angeles Dodgers baseball team.",Guggenheim defeats lawsuit claiming it siphoned annuity unit's cash for LA Dodgers
49,2019-07-15,"Guggenheim Partners won the dismissal of a lawsuit claiming it defrauded investors in a risky annuity, and siphoned cash for purposes including to help its billionaire chief executive Mark Walter buy the Los Angeles Dodgers baseball team.",Guggenheim defeats lawsuit claiming it siphoned annuity unit's cash for LA Dodgers
50,2019-07-11,"Apple Inc's top-end iPhones, assembled in India by Foxconn's local unit, are likely to hit Indian stores next month, a source said, potentially helping the tech giant drop prices in the world's second-biggest smartphone market.",RPT-Apple's India-made top-end iPhones to hit stores next month-source
51,2019-07-11,"Apple Inc this week restored a software application to its App Store that let parents control their children's iPhone usage after removing it in February, the company said on Thursday.",Apple reinstates OurPact parental control app removed over privacy concerns
52,2019-07-11,"Apple Inc this week restored a software application to its App Store that let parents control their children's iPhone usage after removing it in February, the company said on Thursday.",Apple reinstates OurPact parental control app removed over privacy concerns
53,2019-07-11,"Apple Inc's top-end iPhones, assembled in India by Foxconn's local unit, are likely to hit Indian stores next month, a source said, potentially helping the tech giant drop prices in the world's second-biggest smartphone market.",Apple's India-made top-end iPhones to hit stores next month: source
54,2019-07-11,"Apple Inc's top-end iPhones, assembled in India by Foxconn's local unit, are likely to hit Indian stores next month, a source said, potentially helping the tech giant drop prices in the world's second-biggest smartphone market.",Apple's India-made top-end iPhones to hit stores next month-source
55,2019-07-10,Apple Inc has started a program in Shanghai to help Chinese developers create apps as part of the iPhone maker's efforts to build out its services business in one of its most critical overseas markets.,Apple starts China app development program in services business push
56,2019-07-10,Apple Inc has started a program in Shanghai to help Chinese developers create apps as part of the iPhone maker's efforts to build out its services business in one of its most critical overseas markets.,Apple starts China app development program in services business push
57,2019-07-09,"Executives from Amazon.com Inc, Apple Inc, Facebook Inc and Alphabet's Google will testify before a House of Representatives congressional committee next week in a hearing to discuss the tremendous market power wielded by online platforms.",Big Tech executives due on Capitol Hill next week for antitrust hearing
58,2019-07-09,"French politicians see three unstoppable forces that threaten the well-being of Europe: China, U.S. President Donald Trump, and “les GAFA”, or Google, Apple, Facebook and Amazon. Yet the leaders of Gallic multinationals say they are investing more in the United States, desperate to get the right Chinese commercial strategy, and partnering with Big Tech.",Breakingviews - Cox: Parisian elite’s offsite exposes fractures
59,2019-07-09,"Apple Inc will likely see a surge in services revenue in the third quarter, charged by app store developer revenue and renewed growth in China, critical areas for the future as the iPhone maker faces a maturing smartphone market, Evercore ISI said on Tuesday.","Apple's services revenue, China to power third quarter: analyst"
60,2019-07-08,U.S. stocks fell on Monday as Apple shares dropped following a broker downgrade and investors continued to weigh chances of an aggressive interest rate cut by the Federal Reserve later this month.,"Wall St. drops as Apple falls, Fed eyed"
61,2019-07-08,"French politicians see three unstoppable forces that threaten the well-being of Europe: China, U.S. President Donald Trump, and “les GAFA”, or Google, Apple, Facebook and Alphabet. Yet the leaders of Gallic multinationals say they are investing more in the United States, desperate to get the right Chinese commercial strategy, and partnering with Big Tech.",Breakingviews - Cox: Parisian elite’s offsite exposes fractures
62,2019-07-02,"Apple's main regulator in the European Union, Ireland's Data Protection Commissioner (DPC), has opened a third privacy investigation into the iPhone maker over the last few weeks, a spokesman for the DPC said on Tuesday.",Irish regulator opens third privacy probe into Apple
63,2019-07-01,"Ireland's debt agency has invested disputed taxes collected from Apple in low risk, highly rated euro-dominated fixed income securities, mainly short to medium-term sovereign and quasi-sovereign bonds, it said in an annual report.",Ireland invests disputed Apple taxes in low-risk bonds
64,2019-07-01,"Uruguay's conservative opposition has posted a big win in presidential primaries, firing a warning at the ruling coalition ahead of national elections in October as the South American nation grapples to revive economic growth.",Uruguay opposition posts big win in presidential primaries
65,2019-06-30,"Technology stocks are Wall Street's top performers as 2019 hits half-way, with investors betting on lower interest rates, although Apple and chipmakers face turbulence related to the U.S.-China trade war.","Halfway through 2019, tech leads on Wall Street"
66,2019-06-28,"Apple Inc is shifting manufacturing of its new Mac Pro desktop computer to China from the United States, the Wall Street Journal reported on Friday, citing people familiar with the matter.",Apple moves Mac Pro production to China from U.S.: Wall Street Journal
67,2019-06-28,"Apple Inc is shifting manufacturing of its new Mac Pro desktop computer to China from the United States, the Wall Street Journal reported on Friday, citing people familiar with the matter.",UPDATE 3-Apple moves Mac Pro production to China from U.S. - WSJ
68,2019-06-28,"Jony Ive, a close creative collaborator with Apple Inc co-founder Steve Jobs whose iPhone and other designs fueled Apple's rise to a $1 trillion company, will leave later this year to form an independent design company.","Apple design chief Jony Ive, Steve Jobs' confidant, to leave and start own firm"
69,2019-06-28,"Japan Display Inc said on Friday it would receive a $100 million investment from a customer, which a source said was Apple Inc , as part of a bailout deal led by a Chinese investment firm for the smartphone screen maker.",Japan Display to receive $100 million investment from Apple as part of bailout deal
70,2019-06-27,"Rare earth elements are used in a wide range of consumer products, from iPhones to electric car motors, as well as military jet engines, satellites and lasers.",U.S. dependence on China's rare earth: Trade war vulnerability
71,2019-06-27,"Airlines on Thursday urged global regulators to coordinate on measures needed to bring the grounded 737 MAX jetliner back into service, as Boeing grappled with a new technical glitch and investors sold shares of suppliers over fears of more disruption.",Airlines urge regulators to work together to return 737 MAX to service
72,2019-06-25,Apple Inc on Tuesday confirmed that it has acquired self-driving shuttle firm Drive.ai.,Apple buys self-driving car startup Drive.ai
73,2019-06-24,"Music streaming service Spotify Technology SA pays Apple Inc a 15% fee on about 680,000 of its 100 million premium customers, Apple disclosed in a response to Spotify's complaint with European antitrust regulators.",Apple says it collects fee on less than 1% of Spotify users
74,2019-06-21,"Seven U.S. Senate Democrats asked the Trump administration on Friday to disclose details of possible Federal Trade Commission and Justice Department antitrust investigations into Amazon.com Inc, Facebook Inc, Alphabet Inc and Apple Inc.",Senate Democrats ask for details on antitrust probes into Big Tech
75,2019-06-21,"Apple Inc supplier Foxconn chose chip-unit boss Liu Young-way as chairman on Friday to succeed Terry Gou, who is preparing to contest Taiwan's presidential elections next year.","Foxconn picks chip-unit head for chairman, as Gou seeks Taiwan presidency"
76,2019-06-21,* Gou seeking to represent China-friendly opposition KMT party,"UPDATE 4-Foxconn picks chip-unit head for chairman, as Gou seeks Taiwan presidency"
77,2019-06-20,The U.S. Federal Trade Commission on Thursday objected to a move by mobile chip supplier Qualcomm Inc to introduce internal Apple Inc documents in its fight to stop the enforcement of a May antitrust ruling.,FTC objects to Qualcomm submission of Apple documents in antitrust case
78,2019-06-20,"Apple Inc, Keurig Dr Pepper Inc, Dollar Tree Inc and Fitbit Inc have joined other companies in filing letters of opposition to a Trump administration plan for more U.S. tariffs on Chinese goods, including iPhones, MacBooks, and single-serve coffee brewers.","Apple, Keurig Dr Pepper, Dollar Tree, Fitbit press U.S. to drop China tariff plan"
79,2019-06-20,"Apple Inc, Keurig Dr Pepper Inc, Dollar Tree Inc and Fitbit Inc have joined other companies in filing letters of opposition to a Trump administration plan for more U.S. tariffs on Chinese goods, including iPhones, MacBooks, and single-serve coffee brewers.","UPDATE 5-Apple, Keurig Dr Pepper, Dollar Tree, Fitbit press U.S. to drop China tariff plan"
80,2019-06-19,"Apple Inc has asked its major suppliers to assess the cost implications of moving 15%-30% of their production capacity from China to Southeast Asia as it prepares for a restructuring of its supply chain, according to a Nikkei Asian Review report on Wednesday.",Apple explores moving 15-30% of production capacity from China: Nikkei
81,2019-06-19,"Apple Inc has asked its major suppliers to assess the cost implications of moving 15%-30% of their production capacity from China to Southeast Asia as it prepares for a restructuring of its supply chain, according to a Nikkei Asian Review report on Wednesday.",UPDATE 3-Apple explores moving 15-30% of production capacity from China - Nikkei
82,2019-06-19,"Rare earth elements are used in a wide range of consumer products, from iPhones to electric car motors, as well as military jet engines, satellites and lasers.",Explainer: U.S. dependence on China's rare earth: Trade war vulnerability
83,2019-06-19,Apple Inc and Best Buy Co Inc said on Wednesday that they have extended a partnership that will allow the Minneapolis-based retailer's technicians fix iPhones at any Best Buy store in the United States.,Apple says iPhones can now be fixed at all U.S. Best Buy stores
84,2019-06-19,Apple Inc and Best Buy Co Inc said on Wednesday that they have extended a partnership that will allow the Minneapolis-based retailer's technicians fix iPhones at any Best Buy store in the United States.,Apple says iPhones can now be fixed at all U.S. Best Buy stores
85,2019-06-19,"Apple Inc has asked its major suppliers to assess the cost implications of moving 15%-30% of their production capacity from China to Southeast Asia as it prepares for a restructuring of its supply chain, according to a Nikkei Asian Review report on Wednesday.",RPT-UPDATE 1-Apple explores moving 15-30% of production capacity from China - Nikkei
86,2019-06-17,"The U.S. arm of HSBC Holdings Plc announced plans on Monday to expand its branch network by around a quarter as it opened a new location in Apple Inc's home town of Cupertino, California.","HSBC opens in Apple's home town, plans 50 new U.S. branches"
87,2019-06-15,"India will impose higher retaliatory tariffs on 28 U.S. products including almonds, apples and walnuts from Sunday, following Washington's withdrawal of key trade privileges for New Delhi.",India to impose retaliatory tariffs on 28 U.S. goods from Sunday
88,2019-06-14,"India is preparing to impose higher tariffs on some U.S. goods including almonds, walnuts and apples next week after a delay of about a year, two sources said, following Washington's withdrawal of key trade privileges for New Delhi.",India set to levy higher tariffs on some U.S. goods next week: sources
89,2019-06-14,"Apple Inc supplier Japan Display Inc said on Friday it had not received notice from a Chinese-Taiwanese consortium about a potential 80 billion yen ($740 million) investment, raising the possibility of a critical delay in much-needed cash.",Japan Display says has not received notice about Chinese investment
90,2019-06-19,"Apple Inc has asked its major suppliers to assess the cost implications of moving 15%-30% of their production capacity from China to Southeast Asia as it prepares for a restructuring of its supply chain, according to a Nikkei Asian Review report on Wednesday.",Apple explores moving 15-30% of production capacity from China: Nikkei
91,2019-06-19,"Apple Inc has asked its major suppliers to assess the cost implications of moving 15%-30% of their production capacity from China to Southeast Asia as it prepares for a restructuring of its supply chain, according to a Nikkei Asian Review report on Wednesday.",UPDATE 3-Apple explores moving 15-30% of production capacity from China - Nikkei
92,2019-06-19,"Rare earth elements are used in a wide range of consumer products, from iPhones to electric car motors, as well as military jet engines, satellites and lasers.",Explainer: U.S. dependence on China's rare earth: Trade war vulnerability
93,2019-06-19,Apple Inc and Best Buy Co Inc said on Wednesday that they have extended a partnership that will allow the Minneapolis-based retailer's technicians fix iPhones at any Best Buy store in the United States.,Apple says iPhones can now be fixed at all U.S. Best Buy stores
94,2019-06-19,Apple Inc and Best Buy Co Inc said on Wednesday that they have extended a partnership that will allow the Minneapolis-based retailer's technicians fix iPhones at any Best Buy store in the United States.,Apple says iPhones can now be fixed at all U.S. Best Buy stores
95,2019-06-19,"Apple Inc has asked its major suppliers to assess the cost implications of moving 15%-30% of their production capacity from China to Southeast Asia as it prepares for a restructuring of its supply chain, according to a Nikkei Asian Review report on Wednesday.",RPT-UPDATE 1-Apple explores moving 15-30% of production capacity from China - Nikkei
96,2019-06-17,"The U.S. arm of HSBC Holdings Plc announced plans on Monday to expand its branch network by around a quarter as it opened a new location in Apple Inc's home town of Cupertino, California.","HSBC opens in Apple's home town, plans 50 new U.S. branches"
97,2019-06-15,"India will impose higher retaliatory tariffs on 28 U.S. products including almonds, apples and walnuts from Sunday, following Washington's withdrawal of key trade privileges for New Delhi.",India to impose retaliatory tariffs on 28 U.S. goods from Sunday
98,2019-06-14,"India is preparing to impose higher tariffs on some U.S. goods including almonds, walnuts and apples next week after a delay of about a year, two sources said, following Washington's withdrawal of key trade privileges for New Delhi.",India set to levy higher tariffs on some U.S. goods next week: sources
99,2019-06-14,"Apple Inc supplier Japan Display Inc said on Friday it had not received notice from a Chinese-Taiwanese consortium about a potential 80 billion yen ($740 million) investment, raising the possibility of a critical delay in much-needed cash.",Japan Display says has not received notice about Chinese investment
100,2019-06-19,"Apple Inc has asked its major suppliers to assess the cost implications of moving 15%-30% of their production capacity from China to Southeast Asia as it prepares for a restructuring of its supply chain, according to a Nikkei Asian Review report on Wednesday.",Apple explores moving 15-30% of production capacity from China: Nikkei
101,2019-06-19,"Apple Inc has asked its major suppliers to assess the cost implications of moving 15%-30% of their production capacity from China to Southeast Asia as it prepares for a restructuring of its supply chain, according to a Nikkei Asian Review report on Wednesday.",UPDATE 3-Apple explores moving 15-30% of production capacity from China - Nikkei
102,2019-06-19,"Rare earth elements are used in a wide range of consumer products, from iPhones to electric car motors, as well as military jet engines, satellites and lasers.",Explainer: U.S. dependence on China's rare earth: Trade war vulnerability
103,2019-06-19,Apple Inc and Best Buy Co Inc said on Wednesday that they have extended a partnership that will allow the Minneapolis-based retailer's technicians fix iPhones at any Best Buy store in the United States.,Apple says iPhones can now be fixed at all U.S. Best Buy stores
104,2019-06-19,Apple Inc and Best Buy Co Inc said on Wednesday that they have extended a partnership that will allow the Minneapolis-based retailer's technicians fix iPhones at any Best Buy store in the United States.,Apple says iPhones can now be fixed at all U.S. Best Buy stores
105,2019-06-19,"Apple Inc has asked its major suppliers to assess the cost implications of moving 15%-30% of their production capacity from China to Southeast Asia as it prepares for a restructuring of its supply chain, according to a Nikkei Asian Review report on Wednesday.",RPT-UPDATE 1-Apple explores moving 15-30% of production capacity from China - Nikkei
106,2019-06-17,"The U.S. arm of HSBC Holdings Plc announced plans on Monday to expand its branch network by around a quarter as it opened a new location in Apple Inc's home town of Cupertino, California.","HSBC opens in Apple's home town, plans 50 new U.S. branches"
107,2019-06-15,"India will impose higher retaliatory tariffs on 28 U.S. products including almonds, apples and walnuts from Sunday, following Washington's withdrawal of key trade privileges for New Delhi.",India to impose retaliatory tariffs on 28 U.S. goods from Sunday
108,2019-06-14,"India is preparing to impose higher tariffs on some U.S. goods including almonds, walnuts and apples next week after a delay of about a year, two sources said, following Washington's withdrawal of key trade privileges for New Delhi.",India set to levy higher tariffs on some U.S. goods next week: sources
109,2019-06-14,"Apple Inc supplier Japan Display Inc said on Friday it had not received notice from a Chinese-Taiwanese consortium about a potential 80 billion yen ($740 million) investment, raising the possibility of a critical delay in much-needed cash.",Japan Display says has not received notice about Chinese investment
110,2019-06-19,"Apple Inc has asked its major suppliers to assess the cost implications of moving 15%-30% of their production capacity from China to Southeast Asia as it prepares for a restructuring of its supply chain, according to a Nikkei Asian Review report on Wednesday.",Apple explores moving 15-30% of production capacity from China: Nikkei
111,2019-06-19,"Apple Inc has asked its major suppliers to assess the cost implications of moving 15%-30% of their production capacity from China to Southeast Asia as it prepares for a restructuring of its supply chain, according to a Nikkei Asian Review report on Wednesday.",UPDATE 3-Apple explores moving 15-30% of production capacity from China - Nikkei
112,2019-06-19,"Rare earth elements are used in a wide range of consumer products, from iPhones to electric car motors, as well as military jet engines, satellites and lasers.",Explainer: U.S. dependence on China's rare earth: Trade war vulnerability
113,2019-06-19,Apple Inc and Best Buy Co Inc said on Wednesday that they have extended a partnership that will allow the Minneapolis-based retailer's technicians fix iPhones at any Best Buy store in the United States.,Apple says iPhones can now be fixed at all U.S. Best Buy stores
114,2019-06-19,Apple Inc and Best Buy Co Inc said on Wednesday that they have extended a partnership that will allow the Minneapolis-based retailer's technicians fix iPhones at any Best Buy store in the United States.,Apple says iPhones can now be fixed at all U.S. Best Buy stores
115,2019-06-19,"Apple Inc has asked its major suppliers to assess the cost implications of moving 15%-30% of their production capacity from China to Southeast Asia as it prepares for a restructuring of its supply chain, according to a Nikkei Asian Review report on Wednesday.",RPT-UPDATE 1-Apple explores moving 15-30% of production capacity from China - Nikkei
116,2019-06-17,"The U.S. arm of HSBC Holdings Plc announced plans on Monday to expand its branch network by around a quarter as it opened a new location in Apple Inc's home town of Cupertino, California.","HSBC opens in Apple's home town, plans 50 new U.S. branches"
117,2019-06-15,"India will impose higher retaliatory tariffs on 28 U.S. products including almonds, apples and walnuts from Sunday, following Washington's withdrawal of key trade privileges for New Delhi.",India to impose retaliatory tariffs on 28 U.S. goods from Sunday
118,2019-06-14,"India is preparing to impose higher tariffs on some U.S. goods including almonds, walnuts and apples next week after a delay of about a year, two sources said, following Washington's withdrawal of key trade privileges for New Delhi.",India set to levy higher tariffs on some U.S. goods next week: sources
119,2019-06-14,"Apple Inc supplier Japan Display Inc said on Friday it had not received notice from a Chinese-Taiwanese consortium about a potential 80 billion yen ($740 million) investment, raising the possibility of a critical delay in much-needed cash.",Japan Display says has not received notice about Chinese investment
120,2019-06-19,"Apple Inc has asked its major suppliers to assess the cost implications of moving 15%-30% of their production capacity from China to Southeast Asia as it prepares for a restructuring of its supply chain, according to a Nikkei Asian Review report on Wednesday.",Apple explores moving 15-30% of production capacity from China: Nikkei
121,2019-06-19,"Apple Inc has asked its major suppliers to assess the cost implications of moving 15%-30% of their production capacity from China to Southeast Asia as it prepares for a restructuring of its supply chain, according to a Nikkei Asian Review report on Wednesday.",UPDATE 3-Apple explores moving 15-30% of production capacity from China - Nikkei
122,2019-06-19,"Rare earth elements are used in a wide range of consumer products, from iPhones to electric car motors, as well as military jet engines, satellites and lasers.",Explainer: U.S. dependence on China's rare earth: Trade war vulnerability
